"Left","Right","C_Left","C_Right","R_Left","R_Right"
-0.2258,-0.3713,-0.2781,-2.183,-0.4798,0.5578
-1.874,-1.011,-1.304,-0.8385,-2.709,-1.474
1.314,0.7508,1.199,0.5215,1.136,1.245
5.262,3.842,5.495,3.564,5.008,4.427
0.004666,-1.038,0.03507,-0.9766,-0.2944,-0.8357
0.6068,-1.802,1.227,0.1111,0.3475,-2.926
13.84,6.02,11.9,6.171,16.78,6.724
1.238,-3.093,-1.3,-2.172,3.057,-3.919
3.529,3.19,3.703,3.826,4.028,3.56
4.297,4.059,3.315,4.825,5.475,3.924
10.65,8.076,11.83,8.446,10.45,9.645
5.014,2.499,5.123,4.336,4.82,2.072
-3.013,-3.175,-5.713,-3.901,-2.064,-2.346
-1.522,-1.784,-2.898,-2.598,-0.5477,-1.571
-7.55,-2.219,-9.159,-2.18,-6.279,-2.25
10.33,6.597,9.173,6.708,11.14,7.016
-1.709,-0.6088,-2.313,-0.7976,-1.5,0.4893
5.171,-0.9864,4.55,-1.682,5.096,-1.448
-1.131,-0.4704,-0.5612,0.2669,-1.489,-0.8199
1.488,0.7073,0.6874,0.3506,2.434,1.128
0.4156,1.287,-0.3462,0.9278,1.02,1.747
2.624,1.951,3.382,3.126,2.266,1.488
