"IFG","vmPFC"
1.318975,-0.7742
-1.046975,0.96815
-0.370775,-0.910385
0.2102675,-1.642
3.9518,0.492661
-1.53296,-1.9875
1.43305,-0.3069
-0.07195,0.7259
-1.14535,1.27729
0.205525,-0.81035
-1.1585,0.2514
-0.68435,-1.4022
-1.3767025,-1.52725
-3.85025,-0.71185
0.501175,0.353
3.99045,1.318
-3.80499,-0.33595
-2.982,1.1648
-0.880525,-0.02535
-1.470925,-1.29655
0.76245,0.52235
0.763725,0.1235
1.5418,-1.27255
-1.40378,-0.657325
-1.49445,-0.23805
-1.30915,1.614
-0.613475,1.463
1.3518,0.989085
0.0892,-0.0325
0.54825,0.92185
-1.97,-1.208
